,Time tweeted,Username,Tweet,Punct_Tweet,Tokenize_Tweet,nonStopWordsTweet,StemmedTweets,LemmantizeTweets
0,2020-10-23 02:55:40,moraima maqueda,"RT @teleSURtv: Para las próximas elecciones en #EEUU🇺🇸 existen 30 candidatos, sin embargo la atención se centra directamente en las fórmula…",RT teleSURtv Para las próximas elecciones en EEUU🇺🇸 existen  candidatos sin embargo la atención se centra directamente en las fórmula…,"['rt', 'telesurtv', 'para', 'las', 'próximas', 'elecciones', 'en', 'eeuu', 'existen', 'candidatos', 'sin', 'embargo', 'la', 'atención', 'se', 'centra', 'directamente', 'en', 'las', 'fórmula', '']","['rt', 'telesurtv', 'para', 'las', 'próximas', 'elecciones', 'en', 'eeuu', 'existen', 'candidatos', 'sin', 'embargo', 'la', 'atención', 'se', 'centra', 'directamente', 'en', 'las', 'fórmula', '']","['rt', 'telesurtv', 'para', 'la', 'próxima', 'eleccion', 'en', 'eeuu', 'existen', 'candidato', 'sin', 'embargo', 'la', 'atención', 'se', 'centra', 'directament', 'en', 'la', 'fórmula', '']","['rt', 'telesurtv', 'para', 'la', 'próximas', 'elecciones', 'en', 'eeuu', 'existen', 'candidatos', 'sin', 'embargo', 'la', 'atención', 'se', 'centrum', 'directamente', 'en', 'la', 'fórmula', '']"
1,2020-10-23 02:55:38,Michael Dilger,I don't know what Democrats were thinking by running Biden &amp; Harris against Vs Trump &amp; Pence. If Democrats wanted t… https://t.co/FZ0c3sAuBM,I dont know what Democrats were thinking by running Biden amp Harris against Vs Trump amp Pence If Democrats wanted t… httpstcoFZcsAuBM,"['i', 'dont', 'know', 'what', 'democrats', 'were', 'thinking', 'by', 'running', 'biden', 'amp', 'harris', 'against', 'vs', 'trump', 'amp', 'pence', 'if', 'democrats', 'wanted', 't', 'httpstcofzcsaubm']","['dont', 'know', 'democrats', 'thinking', 'running', 'biden', 'amp', 'harris', 'vs', 'trump', 'amp', 'pence', 'democrats', 'wanted', 'httpstcofzcsaubm']","['dont', 'know', 'democrat', 'think', 'run', 'biden', 'amp', 'harri', 'vs', 'trump', 'amp', 'penc', 'democrat', 'want', 'httpstcofzcsaubm']","['dont', 'know', 'democrat', 'thinking', 'running', 'biden', 'amp', 'harris', 'v', 'trump', 'amp', 'penny', 'democrat', 'wanted', 'httpstcofzcsaubm']"
2,2020-10-23 02:55:36,Ln,"@jamlouh He looks his age. Trump is just 3 yrs his junior &amp; not in good health. So yea, Biden is old &amp; looks it &amp; b… https://t.co/dJ6ZX8PPSo",jamlouh He looks his age Trump is just  yrs his junior amp not in good health So yea Biden is old amp looks it amp b… httpstcodJZXPPSo,"['jamlouh', 'he', 'looks', 'his', 'age', 'trump', 'is', 'just', 'yrs', 'his', 'junior', 'amp', 'not', 'in', 'good', 'health', 'so', 'yea', 'biden', 'is', 'old', 'amp', 'looks', 'it', 'amp', 'b', 'httpstcodjzxppso']","['jamlouh', 'looks', 'age', 'trump', 'yrs', 'junior', 'amp', 'good', 'health', 'yea', 'biden', 'old', 'amp', 'looks', 'amp', 'b', 'httpstcodjzxppso']","['jamlouh', 'look', 'age', 'trump', 'yr', 'junior', 'amp', 'good', 'health', 'yea', 'biden', 'old', 'amp', 'look', 'amp', 'b', 'httpstcodjzxppso']","['jamlouh', 'look', 'age', 'trump', 'yr', 'junior', 'amp', 'good', 'health', 'yea', 'biden', 'old', 'amp', 'look', 'amp', 'b', 'httpstcodjzxppso']"
3,2020-10-23 02:55:15,Patria Bonita,"RT @teleSURtv: Para las próximas elecciones en #EEUU🇺🇸 existen 30 candidatos, sin embargo la atención se centra directamente en las fórmula…",RT teleSURtv Para las próximas elecciones en EEUU🇺🇸 existen  candidatos sin embargo la atención se centra directamente en las fórmula…,"['rt', 'telesurtv', 'para', 'las', 'próximas', 'elecciones', 'en', 'eeuu', 'existen', 'candidatos', 'sin', 'embargo', 'la', 'atención', 'se', 'centra', 'directamente', 'en', 'las', 'fórmula', '']","['rt', 'telesurtv', 'para', 'las', 'próximas', 'elecciones', 'en', 'eeuu', 'existen', 'candidatos', 'sin', 'embargo', 'la', 'atención', 'se', 'centra', 'directamente', 'en', 'las', 'fórmula', '']","['rt', 'telesurtv', 'para', 'la', 'próxima', 'eleccion', 'en', 'eeuu', 'existen', 'candidato', 'sin', 'embargo', 'la', 'atención', 'se', 'centra', 'directament', 'en', 'la', 'fórmula', '']","['rt', 'telesurtv', 'para', 'la', 'próximas', 'elecciones', 'en', 'eeuu', 'existen', 'candidatos', 'sin', 'embargo', 'la', 'atención', 'se', 'centrum', 'directamente', 'en', 'la', 'fórmula', '']"
4,2020-10-23 02:54:59,Leandro MV 🇦🇷,"RT @HoracioRubio97: Trump vs Biden-Wallace
Trump vs Minita progre de la TV
Pence vs Harris
Trump vs Biden-Minita progre

Los mejores videos…","RT HoracioRubio Trump vs BidenWallace
Trump vs Minita progre de la TV
Pence vs Harris
Trump vs BidenMinita progre

Los mejores videos…","['rt', 'horaciorubio', 'trump', 'vs', 'bidenwallace', 'trump', 'vs', 'minita', 'progre', 'de', 'la', 'tv', 'pence', 'vs', 'harris', 'trump', 'vs', 'bidenminita', 'progre', 'los', 'mejores', 'videos', '']","['rt', 'horaciorubio', 'trump', 'vs', 'bidenwallace', 'trump', 'vs', 'minita', 'progre', 'de', 'la', 'tv', 'pence', 'vs', 'harris', 'trump', 'vs', 'bidenminita', 'progre', 'los', 'mejores', 'videos', '']","['rt', 'horaciorubio', 'trump', 'vs', 'bidenwallac', 'trump', 'vs', 'minita', 'progr', 'de', 'la', 'tv', 'penc', 'vs', 'harri', 'trump', 'vs', 'bidenminita', 'progr', 'lo', 'mejor', 'video', '']","['rt', 'horaciorubio', 'trump', 'v', 'bidenwallace', 'trump', 'v', 'minita', 'progre', 'de', 'la', 'tv', 'penny', 'v', 'harris', 'trump', 'v', 'bidenminita', 'progre', 'los', 'mejores', 'video', '']"
5,2020-10-23 02:54:11,Thomas Miller,"Thursday, October 22, 2020, 07:48:29 PM Pacific
Democratic ticket has an 82.1%
  chance of winning the election
Ele… https://t.co/1mtFLVlrUC","Thursday October    PM Pacific
Democratic ticket has an 
  chance of winning the election
Ele… httpstcomtFLVlrUC","['thursday', 'october', 'pm', 'pacific', 'democratic', 'ticket', 'has', 'an', 'chance', 'of', 'winning', 'the', 'election', 'ele', 'httpstcomtflvlruc']","['thursday', 'october', 'pm', 'pacific', 'democratic', 'ticket', 'chance', 'winning', 'election', 'ele', 'httpstcomtflvlruc']","['thursday', 'octob', 'pm', 'pacif', 'democrat', 'ticket', 'chanc', 'win', 'elect', 'ele', 'httpstcomtflvlruc']","['thursday', 'october', 'pm', 'pacific', 'democratic', 'ticket', 'chance', 'winning', 'election', 'ele', 'httpstcomtflvlruc']"
6,2020-10-23 02:53:55,G_B,"RT @HoracioRubio97: Trump vs Biden-Wallace
Trump vs Minita progre de la TV
Pence vs Harris
Trump vs Biden-Minita progre

Los mejores videos…","RT HoracioRubio Trump vs BidenWallace
Trump vs Minita progre de la TV
Pence vs Harris
Trump vs BidenMinita progre

Los mejores videos…","['rt', 'horaciorubio', 'trump', 'vs', 'bidenwallace', 'trump', 'vs', 'minita', 'progre', 'de', 'la', 'tv', 'pence', 'vs', 'harris', 'trump', 'vs', 'bidenminita', 'progre', 'los', 'mejores', 'videos', '']","['rt', 'horaciorubio', 'trump', 'vs', 'bidenwallace', 'trump', 'vs', 'minita', 'progre', 'de', 'la', 'tv', 'pence', 'vs', 'harris', 'trump', 'vs', 'bidenminita', 'progre', 'los', 'mejores', 'videos', '']","['rt', 'horaciorubio', 'trump', 'vs', 'bidenwallac', 'trump', 'vs', 'minita', 'progr', 'de', 'la', 'tv', 'penc', 'vs', 'harri', 'trump', 'vs', 'bidenminita', 'progr', 'lo', 'mejor', 'video', '']","['rt', 'horaciorubio', 'trump', 'v', 'bidenwallace', 'trump', 'v', 'minita', 'progre', 'de', 'la', 'tv', 'penny', 'v', 'harris', 'trump', 'v', 'bidenminita', 'progre', 'los', 'mejores', 'video', '']"
7,2020-10-23 02:53:26,Rhi🍓💋,I CANT BELIEVE THERE WAS NO PLEXIGLASS IN BETWEEN BIDEN AND TRUMP WTF. THEY EVEN HAD PLEXIGLASS FOR KAMALA HARRIS A… https://t.co/JRvIk6Bbc4,I CANT BELIEVE THERE WAS NO PLEXIGLASS IN BETWEEN BIDEN AND TRUMP WTF THEY EVEN HAD PLEXIGLASS FOR KAMALA HARRIS A… httpstcoJRvIkBbc,"['i', 'cant', 'believe', 'there', 'was', 'no', 'plexiglass', 'in', 'between', 'biden', 'and', 'trump', 'wtf', 'they', 'even', 'had', 'plexiglass', 'for', 'kamala', 'harris', 'a', 'httpstcojrvikbbc']","['cant', 'believe', 'plexiglass', 'biden', 'trump', 'wtf', 'even', 'plexiglass', 'kamala', 'harris', 'httpstcojrvikbbc']","['cant', 'believ', 'plexiglass', 'biden', 'trump', 'wtf', 'even', 'plexiglass', 'kamala', 'harri', 'httpstcojrvikbbc']","['cant', 'believe', 'plexiglas', 'biden', 'trump', 'wtf', 'even', 'plexiglas', 'kamala', 'harris', 'httpstcojrvikbbc']"
8,2020-10-23 02:52:57,Horacio Rubio,"Trump vs Biden-Wallace
Trump vs Minita progre de la TV
Pence vs Harris
Trump vs Biden-Minita progre

Los mejores vi… https://t.co/mQbCvnAnMe","Trump vs BidenWallace
Trump vs Minita progre de la TV
Pence vs Harris
Trump vs BidenMinita progre

Los mejores vi… httpstcomQbCvnAnMe","['trump', 'vs', 'bidenwallace', 'trump', 'vs', 'minita', 'progre', 'de', 'la', 'tv', 'pence', 'vs', 'harris', 'trump', 'vs', 'bidenminita', 'progre', 'los', 'mejores', 'vi', 'httpstcomqbcvnanme']","['trump', 'vs', 'bidenwallace', 'trump', 'vs', 'minita', 'progre', 'de', 'la', 'tv', 'pence', 'vs', 'harris', 'trump', 'vs', 'bidenminita', 'progre', 'los', 'mejores', 'vi', 'httpstcomqbcvnanme']","['trump', 'vs', 'bidenwallac', 'trump', 'vs', 'minita', 'progr', 'de', 'la', 'tv', 'penc', 'vs', 'harri', 'trump', 'vs', 'bidenminita', 'progr', 'lo', 'mejor', 'vi', 'httpstcomqbcvnanm']","['trump', 'v', 'bidenwallace', 'trump', 'v', 'minita', 'progre', 'de', 'la', 'tv', 'penny', 'v', 'harris', 'trump', 'v', 'bidenminita', 'progre', 'los', 'mejores', 'vi', 'httpstcomqbcvnanme']"
9,2020-10-23 02:52:51,walter castro,"RT @teleSURtv: Para las próximas elecciones en #EEUU🇺🇸 existen 30 candidatos, sin embargo la atención se centra directamente en las fórmula…",RT teleSURtv Para las próximas elecciones en EEUU🇺🇸 existen  candidatos sin embargo la atención se centra directamente en las fórmula…,"['rt', 'telesurtv', 'para', 'las', 'próximas', 'elecciones', 'en', 'eeuu', 'existen', 'candidatos', 'sin', 'embargo', 'la', 'atención', 'se', 'centra', 'directamente', 'en', 'las', 'fórmula', '']","['rt', 'telesurtv', 'para', 'las', 'próximas', 'elecciones', 'en', 'eeuu', 'existen', 'candidatos', 'sin', 'embargo', 'la', 'atención', 'se', 'centra', 'directamente', 'en', 'las', 'fórmula', '']","['rt', 'telesurtv', 'para', 'la', 'próxima', 'eleccion', 'en', 'eeuu', 'existen', 'candidato', 'sin', 'embargo', 'la', 'atención', 'se', 'centra', 'directament', 'en', 'la', 'fórmula', '']","['rt', 'telesurtv', 'para', 'la', 'próximas', 'elecciones', 'en', 'eeuu', 'existen', 'candidatos', 'sin', 'embargo', 'la', 'atención', 'se', 'centrum', 'directamente', 'en', 'la', 'fórmula', '']"
